id,full_name,language,stars,forks,url,license
295200728,srwi/EverythingToolbar,C#,11891.0,483.0,https://api.github.com/repos/srwi/EverythingToolbar,NOASSERTION
204086862,streamlit/streamlit,Python,40681.0,3629.0,https://api.github.com/repos/streamlit/streamlit,Apache-2.0
867014724,syncfusion/maui-toolkit,C#,550.0,86.0,https://api.github.com/repos/syncfusion/maui-toolkit,MIT
823533826,trueai-org/midjourney-proxy,C#,678.0,109.0,https://api.github.com/repos/trueai-org/midjourney-proxy,GPL-3.0
134182879,wieslawsoltes/Dock,C#,1204.0,124.0,https://api.github.com/repos/wieslawsoltes/Dock,MIT
197336679,3rdIteration/btcrecover,Python,742.0,237.0,https://api.github.com/repos/3rdIteration/btcrecover,GPL-2.0
505964914,ACEsuit/mace,Python,811.0,307.0,https://api.github.com/repos/ACEsuit/mace,NOASSERTION
679017521,AgentOps-AI/agentops,Python,4722.0,452.0,https://api.github.com/repos/AgentOps-AI/agentops,MIT
726692169,AgentOps-AI/tokencost,Python,1754.0,87.0,https://api.github.com/repos/AgentOps-AI/tokencost,MIT
14964475,AvaloniaUI/Avalonia,C#,28297.0,2438.0,https://api.github.com/repos/AvaloniaUI/Avalonia,MIT
787462297,Blaizzy/mlx-vlm,Python,1551.0,157.0,https://api.github.com/repos/Blaizzy/mlx-vlm,MIT
76425236,EduardoPires/EquinoxProject,C#,6699.0,1659.0,https://api.github.com/repos/EduardoPires/EquinoxProject,MIT
832879402,Kiln-AI/Kiln,Python,4015.0,287.0,https://api.github.com/repos/Kiln-AI/Kiln,NOASSERTION
46746187,Nethereum/Nethereum,C#,2207.0,730.0,https://api.github.com/repos/Nethereum/Nethereum,MIT
946178371,OpenPipe/ART,Python,4108.0,256.0,https://api.github.com/repos/OpenPipe/ART,Apache-2.0
822033113,Panchovix/stable-diffusion-webui-reForge,Python,788.0,74.0,https://api.github.com/repos/Panchovix/stable-diffusion-webui-reForge,AGPL-3.0
47913347,PowerDNS-Admin/PowerDNS-Admin,Python,2642.0,672.0,https://api.github.com/repos/PowerDNS-Admin/PowerDNS-Admin,MIT
509436902,PriorLabs/TabPFN,Python,4181.0,407.0,https://api.github.com/repos/PriorLabs/TabPFN,NOASSERTION
946676136,PrunaAI/pruna,Python,793.0,39.0,https://api.github.com/repos/PrunaAI/pruna,Apache-2.0
764723738,Skyvern-AI/skyvern,Python,13976.0,1158.0,https://api.github.com/repos/Skyvern-AI/skyvern,AGPL-3.0
544426802,Tasshack/dreame-vacuum,Python,1331.0,180.0,https://api.github.com/repos/Tasshack/dreame-vacuum,MIT
540527604,TobikoData/sqlmesh,Python,2499.0,241.0,https://api.github.com/repos/TobikoData/sqlmesh,Apache-2.0
719367294,VRSEN/agency-swarm,Python,3729.0,955.0,https://api.github.com/repos/VRSEN/agency-swarm,MIT
859956307,aipotheosis-labs/aci,Python,4464.0,421.0,https://api.github.com/repos/aipotheosis-labs/aci,Apache-2.0
84483314,alexanderjeurissen/ranger_devicons,Python,1000.0,77.0,https://api.github.com/repos/alexanderjeurissen/ranger_devicons,GPL-3.0
291703561,alirezamika/autoscraper,Python,6867.0,716.0,https://api.github.com/repos/alirezamika/autoscraper,MIT
735090310,allenai/reward-bench,Python,620.0,88.0,https://api.github.com/repos/allenai/reward-bench,Apache-2.0
4067434,andialbrecht/sqlparse,Python,3907.0,712.0,https://api.github.com/repos/andialbrecht/sqlparse,BSD-3-Clause
680849474,aorwall/moatless-tools,Python,519.0,49.0,https://api.github.com/repos/aorwall/moatless-tools,MIT
233464042,arthurhenrique/cookiecutter-fastapi,Python,575.0,70.0,https://api.github.com/repos/arthurhenrique/cookiecutter-fastapi,MIT
158467856,astronomer/dag-factory,Python,1331.0,212.0,https://api.github.com/repos/astronomer/dag-factory,Apache-2.0
881458615,browser-use/browser-use,Python,66661.0,7678.0,https://api.github.com/repos/browser-use/browser-use,MIT
756594023,bruin-data/ingestr,Python,3047.0,95.0,https://api.github.com/repos/bruin-data/ingestr,MIT
172811550,cartography-cncf/cartography,Python,3491.0,396.0,https://api.github.com/repos/cartography-cncf/cartography,Apache-2.0
2750721,ckan/ckan,Python,4775.0,2046.0,https://api.github.com/repos/ckan/ckan,NOASSERTION
638951438,comet-ml/opik,Python,11956.0,825.0,https://api.github.com/repos/comet-ml/opik,Apache-2.0
92912604,commaai/opendbc,Python,2457.0,1508.0,https://api.github.com/repos/commaai/opendbc,MIT
74627617,commaai/openpilot,Python,55616.0,9992.0,https://api.github.com/repos/commaai/openpilot,MIT
131619646,dagster-io/dagster,Python,13669.0,1774.0,https://api.github.com/repos/dagster-io/dagster,Apache-2.0
452221115,dlt-hub/dlt,Python,3951.0,310.0,https://api.github.com/repos/dlt-hub/dlt,Apache-2.0
617269166,dropseed/plain,Python,619.0,12.0,https://api.github.com/repos/dropseed/plain,
285721510,exo-lang/exo,Python,650.0,46.0,https://api.github.com/repos/exo-lang/exo,MIT
958026130,featureform/enrichmcp,Python,583.0,25.0,https://api.github.com/repos/featureform/enrichmcp,Apache-2.0
898968194,huggingface/smolagents,Python,21715.0,1908.0,https://api.github.com/repos/huggingface/smolagents,Apache-2.0
174731004,ikamensh/flynt,Python,718.0,38.0,https://api.github.com/repos/ikamensh/flynt,MIT
788904329,janbjorge/pgqueuer,Python,1324.0,25.0,https://api.github.com/repos/janbjorge/pgqueuer,MIT
694848632,joshyattridge/smart-money-concepts,Python,810.0,443.0,https://api.github.com/repos/joshyattridge/smart-money-concepts,MIT
781914762,julep-ai/julep,Python,5629.0,931.0,https://api.github.com/repos/julep-ai/julep,
599320067,langflow-ai/langflow,Python,93294.0,7227.0,https://api.github.com/repos/langflow-ai/langflow,MIT
688141049,mangiucugna/json_repair,Python,2533.0,109.0,https://api.github.com/repos/mangiucugna/json_repair,MIT
54591411,mariotoffia/FluentDocker,C#,1365.0,100.0,https://api.github.com/repos/mariotoffia/FluentDocker,Apache-2.0
862584018,modelcontextprotocol/python-sdk,Python,16924.0,2190.0,https://api.github.com/repos/modelcontextprotocol/python-sdk,MIT
886966165,morphik-org/morphik-core,Python,3016.0,241.0,https://api.github.com/repos/morphik-org/morphik-core,NOASSERTION
130741783,netket/netket,Python,620.0,202.0,https://api.github.com/repos/netket/netket,Apache-2.0
633262635,onyx-dot-app/onyx,Python,13231.0,1794.0,https://api.github.com/repos/onyx-dot-app/onyx,NOASSERTION
185478059,open-telemetry/opentelemetry-dotnet,C#,3526.0,833.0,https://api.github.com/repos/open-telemetry/opentelemetry-dotnet,Apache-2.0
946380199,openai/openai-agents-python,Python,13119.0,2088.0,https://api.github.com/repos/openai/openai-agents-python,MIT
953683578,oraios/serena,Python,6198.0,435.0,https://api.github.com/repos/oraios/serena,MIT
458648791,paperless-ngx/paperless-ngx,Python,29685.0,1781.0,https://api.github.com/repos/paperless-ngx/paperless-ngx,GPL-3.0
78002587,pardeike/Harmony,C#,5842.0,542.0,https://api.github.com/repos/pardeike/Harmony,MIT
704703338,patrickrchao/JailbreakingLLMs,Python,586.0,92.0,https://api.github.com/repos/patrickrchao/JailbreakingLLMs,MIT
165548191,peass-ng/PEASS-ng,C#,18020.0,3263.0,https://api.github.com/repos/peass-ng/PEASS-ng,NOASSERTION
637253688,pgalko/BambooAI,Python,657.0,65.0,https://api.github.com/repos/pgalko/BambooAI,MIT
841370602,potpie-ai/potpie,Python,4830.0,446.0,https://api.github.com/repos/potpie-ai/potpie,Apache-2.0
29273084,pydata/pandas-datareader,Python,3080.0,678.0,https://api.github.com/repos/pydata/pandas-datareader,NOASSERTION
71932349,ray-project/ray,Python,38259.0,6665.0,https://api.github.com/repos/ray-project/ray,Apache-2.0
12858849,rcaloras/bashhub-client,Python,1282.0,86.0,https://api.github.com/repos/rcaloras/bashhub-client,Apache-2.0
652229784,rendercv/rendercv,Python,2854.0,282.0,https://api.github.com/repos/rendercv/rendercv,MIT
673010778,roboflow/inference,Python,1824.0,194.0,https://api.github.com/repos/roboflow/inference,NOASSERTION
135941897,saucepleez/taskt,C#,1204.0,383.0,https://api.github.com/repos/saucepleez/taskt,Apache-2.0
395140743,skypilot-org/skypilot,Python,8435.0,714.0,https://api.github.com/repos/skypilot-org/skypilot,Apache-2.0
496005961,stanford-crfm/levanter,Python,628.0,104.0,https://api.github.com/repos/stanford-crfm/levanter,Apache-2.0
587050620,stanfordnlp/dspy,Python,26818.0,2071.0,https://api.github.com/repos/stanfordnlp/dspy,MIT
305144746,tinygrad/tinygrad,Python,29760.0,3545.0,https://api.github.com/repos/tinygrad/tinygrad,MIT
650377372,wandb/weave,Python,950.0,116.0,https://api.github.com/repos/wandb/weave,Apache-2.0
216883277,wieslawsoltes/Svg.Skia,C#,601.0,76.0,https://api.github.com/repos/wieslawsoltes/Svg.Skia,MIT
535751429,wizarrrr/wizarr,Python,2081.0,126.0,https://api.github.com/repos/wizarrrr/wizarr,MIT
460609164,writer/writer-framework,Python,1414.0,90.0,https://api.github.com/repos/writer/writer-framework,Apache-2.0
