full_name,repo_id,language,agent_prs_in_registry,agent_prs_resolved_to_a_commit,resolved_rate
microsoft/Generative-AI-for-beginners-dotnet,915016509.0,C#,19,16,0.8421052631578947
cartography-cncf/cartography,172811550.0,Python,18,10,0.5555555555555556
vlm-run/vlmrun-hub,886899801.0,Python,17,14,0.8235294117647058
openai/openai-agents-python,946380199.0,Python,17,11,0.6470588235294118
3rdIteration/btcrecover,197336679.0,Python,16,12,0.75
nkdAgility/azure-devops-migration-tools,56319070.0,C#,16,12,0.75
commaai/opendbc,92912604.0,Python,16,9,0.5625
roboflow/inference,673010778.0,Python,16,11,0.6875
BerriAI/litellm,671269505.0,Python,15,7,0.4666666666666667
onyx-dot-app/onyx,633262635.0,Python,15,4,0.26666666666666666
dropseed/plain,617269166.0,Python,15,14,0.9333333333333333
alexanderjeurissen/ranger_devicons,84483314.0,Python,15,12,0.8
DaveSkender/Stock.Indicators,230706417.0,C#,15,4,0.26666666666666666
microsoft/vstest,62774726.0,C#,14,7,0.5
keephq/keep,597502256.0,Python,14,7,0.5
microsoft/autogen,680120071.0,Python,14,7,0.5
onnx/onnx,102692863.0,Python,13,4,0.3076923076923077
bespokelabsai/curator,879473096.0,Python,13,2,0.15384615384615385
aipotheosis-labs/aci,859956307.0,Python,12,10,0.8333333333333334
NethermindEth/nethermind,101194285.0,C#,12,2,0.16666666666666666
bentoml/BentoML,178976529.0,Python,11,5,0.45454545454545453
microsoft/WinUI-Gallery,155757874.0,C#,11,8,0.7272727272727273
zenml-io/zenml,314197645.0,Python,11,5,0.45454545454545453
stanfordnlp/dspy,587050620.0,Python,10,8,0.8
tinygrad/tinygrad,305144746.0,Python,10,3,0.3
Azure/azure-functions-core-tools,77990768.0,C#,10,5,0.5
dagster-io/dagster,131619646.0,Python,10,6,0.6
OpenPipe/ART,946178371.0,Python,10,6,0.6
willccbb/verifiers,920603619.0,Python,10,7,0.7
PromtEngineer/localGPT,644715009.0,Python,9,5,0.5555555555555556
netket/netket,130741783.0,Python,9,3,0.3333333333333333
bruin-data/ingestr,756594023.0,Python,9,3,0.3333333333333333
Blaizzy/mlx-vlm,787462297.0,Python,9,7,0.7777777777777778
spcl/dace,172703996.0,Python,9,3,0.3333333333333333
syncfusion/maui-toolkit,867014724.0,C#,9,2,0.2222222222222222
writer/writer-framework,460609164.0,Python,8,5,0.625
wizarrrr/wizarr,535751429.0,Python,8,5,0.625
skypilot-org/skypilot,395140743.0,Python,8,3,0.375
TobikoData/sqlmesh,540527604.0,Python,8,5,0.625
wandb/weave,650377372.0,Python,8,3,0.375
langchain-ai/langgraph,676672661.0,Python,8,6,0.75
graphistry/pygraphistry,36759907.0,Python,7,0,0.0
reflex-dev/reflex,557075997.0,Python,7,4,0.5714285714285714
mangiucugna/json_repair,688141049.0,Python,7,4,0.5714285714285714
pytorch/pytorch,65600975.0,Python,7,3,0.42857142857142855
microsoft/PowerToys,184456251.0,C#,7,4,0.5714285714285714
dotnet/macios,56710511.0,C#,7,6,0.8571428571428571
dotnet/docfx,38007053.0,C#,7,1,0.14285714285714285
oraios/serena,953683578.0,Python,6,3,0.5
microsoft/magentic-ui,978331188.0,Python,6,5,0.8333333333333334
mrwadams/stride-gpt,626117554.0,Python,6,1,0.16666666666666666
microsoft/fluentui-blazor,348132133.0,C#,6,2,0.3333333333333333
dotnet/dotnet,550902717.0,C#,6,2,0.3333333333333333
vllm-project/vllm,599547518.0,Python,6,2,0.3333333333333333
MervinPraison/PraisonAI,774497032.0,Python,6,3,0.5
ucbepic/docetl,826111692.0,Python,6,5,0.8333333333333334
pardeike/Harmony,78002587.0,C#,6,5,0.8333333333333334
peass-ng/PEASS-ng,165548191.0,C#,5,4,0.8
Azure/data-api-builder,401807767.0,C#,5,2,0.4
Azure/azure-cosmos-dotnet-v3,156260788.0,C#,4,0,0.0
EduardoPires/EquinoxProject,76425236.0,C#,4,2,0.5
