full_name,track,metric,n,n_pre,n_post,r2,level_change_coef,level_change_se,level_change_p,level_change_ci_lo,level_change_ci_hi,slope_change_coef,slope_change_se,slope_change_p,slope_change_ci_lo,slope_change_ci_hi,slope_pre_coef,slope_pre_p,dof,intercept_coef,intercept_se,intercept_p,intercept_ci_lo,intercept_ci_hi,slope_pre_se,slope_pre_ci_lo,slope_pre_ci_hi,repo_id,language,stars,log1p_stars,agent_pr_count,distinct_agents,dominant_agent,is_degenerate,n_agent_prs_matched,mean_comments,median_comments,log1p_n_agent_prs_matched
ikamensh/flynt,A1,cyclomatic_complexity_p90,51,42,9,0.6734124836223869,0.3468936003211017,0.1438266715986028,0.0198285129121966,0.06499332398784,0.6287938766543634,0.0874214860946913,0.0240317763646032,0.0006816006123329,0.0403192044200691,0.1345237677693136,-0.0205217899362769,2.4132642245893478e-11,47,4.058227666293966,0.0561794433749565,8.064235184201451e-50,3.948115957279051,4.168339375308881,0.0023610857225203,-0.0251495179524168,-0.0158940619201371,174731004.0,Python,718.0,6.577861357721047,28,1,OpenAI_Codex,False,9,0.2222222222222222,0.0,2.302585092994046
microsoft/testfx,A1,cyclomatic_complexity_p90,51,41,10,0.8268720844653317,0.3663093521008327,0.2584126929180836,0.162921952636015,-0.1401795260186112,0.8727982302202767,0.0639126559529194,0.040960650475349,0.1253878423597036,-0.0163702189787646,0.1441955308846035,-0.0639126559529198,2.73928579170389e-17,47,3.227719134390461,0.113353864073231,2.722198926122886e-31,3.0055455608069286,3.4498927079739943,0.0048824140336625,-0.0734821874588985,-0.0543431244469412,65080725.0,C#,908.0,6.812345094177479,60,1,Copilot,False,4,2.25,2.0,1.6094379124341003
mlflow/mlflow,A1,cyclomatic_complexity_p90,51,41,10,-inf,-4.1847522786867704e-17,1.920691123660381e-15,0.9827095102931958,-3.806402125161215e-15,3.72270707958748e-15,-1.0739243771463934e-15,3.0579880713697413e-16,0.0009941748991197,-1.6732900391348626e-15,-4.745587151579241e-16,2.1685680127786924e-17,0.5547405948550813,47,4.000000000000002,8.46262840450305e-16,0.0,4.0,4.000000000000004,3.645050481660164e-17,-4.975730931275228e-17,9.312866956832612e-17,136202695.0,Python,21402.0,9.971286378100563,91,2,Copilot,True,4,5.25,4.0,1.6094379124341003
wieslawsoltes/Dock,A1,cyclomatic_complexity_p90,51,42,9,0.7379083866534498,-1.2144267421278332,0.2323569227338633,3.895021569355244e-06,-1.6698463106862054,-0.759007173569461,-0.0329314097250982,0.0424471744864101,0.4417411970622259,-0.1161278717184621,0.0502650522682656,-0.0010946370064246,0.7940988673310001,47,5.070029008199165,0.099229395251806,7.692956110341503e-43,4.875539393505625,5.264518622892704,0.0041703707674648,-0.0092685637106557,0.0070792896978063,134182879.0,C#,1204.0,7.094234845924755,309,3,OpenAI_Codex,False,20,0.0,0.0,3.044522437723423
wieslawsoltes/Svg.Skia,A1,cyclomatic_complexity_p90,51,43,8,0.7780289209417703,-0.733763740963013,0.2166324526143974,0.0014361837474996,-1.158363348087232,-0.309164133838794,0.0211363511828425,0.0425768416792545,0.6219061285835235,-0.0623142585084964,0.1045869608741815,-0.0211363511828424,1.090887180816486e-07,47,8.62932045671472,0.0823001902261149,2.229309600652658e-57,8.468012083871534,8.790628829557905,0.0033770443968572,-0.0277553582006825,-0.0145173441650023,216883277.0,C#,601.0,6.400257445308821,76,1,OpenAI_Codex,False,9,0.0,0.0,2.302585092994046
567-labs/instructor,A1,design_smell_density_per_kloc,33,21,12,0.5200603989829065,-0.3596106747320767,0.1597048897657624,0.0320849989128883,-0.6726322586729712,-0.0465890907911823,-0.0238007897106895,0.0195884946468243,0.2341514262088714,-0.0621942392184652,0.0145926597970861,0.0051759685360214,0.509854001919371,29,0.6912892977788331,0.0909861665161619,2.2398918401212562e-08,0.5129564114071556,0.8696221841505105,0.0077565470975088,-0.0100268637750959,0.0203788008471387,653589102.0,Python,11095.0,9.314339961994667,51,4,Devin,False,2,2.0,2.0,1.0986122886681098
AgentOps-AI/agentops,A1,design_smell_density_per_kloc,31,16,15,0.787147078356235,0.4017259785483318,0.1913481576118971,0.0452610018011221,0.0266835896290134,0.7767683674676502,0.1407324345011688,0.0214719461920394,4.980201587586826e-07,0.0986474199647715,0.1828174490375661,-0.1229742175705721,3.831503386741037e-09,27,1.5248685401252606,0.1270158878819442,2.456584633509997e-12,1.2759173998766498,1.7738196803738715,0.0144175978941923,-0.1512327094431891,-0.0947157256979552,679017521.0,Python,4722.0,8.460199469896118,51,3,Devin,False,2,2.0,2.0,1.0986122886681098
Significant-Gravitas/AutoGPT,A1,design_smell_density_per_kloc,35,25,10,0.1960488431683505,0.1807822861673084,0.2081195213557758,0.3917160814618029,-0.2271319756900123,0.5886965480246291,-0.0078920333810746,0.0315792309641835,0.8043040197951852,-0.0697873260708744,0.0540032593087251,0.0071994849880295,0.3407901986687229,31,0.1620082810965473,0.110571305232439,0.1529379263179727,-0.0547114771590332,0.3787280393521278,0.0074414537621778,-0.007385764385839,0.0217847343618981,614765452.0,Python,177379.0,12.086049602930443,43,2,OpenAI_Codex,False,10,5.3,3.5,2.3978952727983707
airbytehq/airbyte,A1,design_smell_density_per_kloc,51,37,14,0.5309422102981127,-0.2410046739887978,0.051571216679522,2.5156537437590587e-05,-0.342084258680661,-0.1399250892969347,-0.0048295287003624,0.0056643895422454,0.3981983624991655,-0.0159317322031635,0.0062726748024387,0.0039672920434457,0.0033107631208516,47,0.4423673885791799,0.0267997209219026,3.4440977280311945e-21,0.3898399355722508,0.494894841586109,0.0012817966673696,0.0014549705754011,0.0064796135114903,283046497.0,Python,19011.0,9.8528256377339,218,3,Devin,False,11,4.181818181818182,4.0,2.4849066497880004
browser-use/browser-use,A1,design_smell_density_per_kloc,15,7,8,0.163508172027796,-0.0724660878698661,0.095546870622351,0.4641311155611756,-0.2597379542896741,0.1148057785499419,-0.0044479291726758,0.0183808473233413,0.8132422715190771,-0.0404743899264248,0.0315785315810732,0.0039783726987137,0.7858525628196266,11,0.1499575084154885,0.051134579535409,0.0136267887800536,0.0497337325260867,0.2501812843048903,0.0142889986652992,-0.0240280646852729,0.0319848100827003,881458615.0,Python,66661.0,11.10739035441195,36,2,Cursor,False,2,3.5,3.5,1.0986122886681098
