full_name,track,metric,n,n_pre,n_post,r2,level_change_coef,level_change_se,level_change_p,level_change_ci_lo,level_change_ci_hi,slope_change_coef,slope_change_se,slope_change_p,slope_change_ci_lo,slope_change_ci_hi,slope_pre_coef,slope_pre_p,dof,intercept_coef,intercept_se,intercept_p,intercept_ci_lo,intercept_ci_hi,slope_pre_se,slope_pre_ci_lo,slope_pre_ci_hi
elsa-workflows/elsa-core,A1,cyclomatic_complexity_p90,51,41,10,0.8988230239467135,0.6907799241301601,0.08840624151948129,4.838467018444528e-10,0.5175036907519768,0.8640561575083434,0.04257760259881784,0.013981406920663469,0.0038027652034335908,0.015174045034317442,0.06998116016331823,-1.214306433183765e-17,0.9999999999999942,47,1.9999999999999984,0.03869192703839419,4.500824502772975e-43,1.9241638230047458,2.075836176995251,0.0016665511061860472,-0.0032664401681246646,0.0032664401681246403
getsentry/sentry,A1,cyclomatic_complexity_p90,50,37,13,-inf,-4.729600409347403e-16,1.4989880589005465e-15,0.7537942623214058,-3.4109766363798115e-15,2.465056554510331e-15,4.132487905050606e-16,1.7177324847288668e-16,0.02021484559451341,7.657322349820269e-17,7.499243575119185e-16,-1.3990091518144649e-16,0.00015260326151045965,46,4.000000000000004,7.238106131930232e-16,0.0,4.000000000000003,4.000000000000006,3.389594358848984e-17,-2.0633696461488656e-16,-7.34648657480064e-17
graphistry/pygraphistry,A1,cyclomatic_complexity_p90,50,42,8,0.578250699806766,-0.015262796391736512,0.2163227592030871,0.944057248283016,-0.4392554044297872,0.4087298116463142,-0.22241685798559288,0.043773051494017216,6.691697471652179e-06,-0.3082120389138666,-0.13662167705731915,0.013344279966888868,0.00037913458527391125,46,5.830446497290178,0.08535359121110372,6.754641874217367e-48,5.6631534585164145,5.997739536063942,0.0034787073416380947,0.0065260135772782025,0.020162546356499535
ikamensh/flynt,A1,cyclomatic_complexity_p90,51,42,9,0.6734124836223869,0.3468936003211017,0.14382667159860288,0.019828512912196606,0.06499332398784008,0.6287938766543634,0.08742148609469139,0.0240317763646032,0.0006816006123329212,0.040319204420069116,0.13452376776931366,-0.020521789936276975,2.413264224589348e-11,47,4.058227666293966,0.056179443374956554,8.064235184201451e-50,3.948115957279051,4.168339375308881,0.0023610857225203298,-0.025149517952416822,-0.015894061920137127
janbjorge/pgqueuer,A1,cyclomatic_complexity_p90,23,14,9,0.22483192120991147,0.09426502099348565,0.13899994892882847,0.5058426298324648,-0.17817487890701816,0.3667049208939895,0.022951864426901152,0.022909241959745183,0.32900042982604744,-0.021950249814199404,0.0678539786680017,-0.02295186442690104,0.041231435093599104,19,3.2068279049258464,0.08035596518801776,8.675952036449953e-20,3.0493302131573317,3.364325596694361,0.010481955589754972,-0.043496497382820784,-0.0024072314709812984
keephq/keep,A1,cyclomatic_complexity_p90,37,28,9,0.9406689112018778,-0.06951479490541991,0.23924043703896006,0.7732026364120437,-0.5384260515017816,0.3993964616909418,-0.12583119997186573,0.03959369306547531,0.0032135896848451044,-0.20343483838019732,-0.048227561563534124,0.12583119997186565,1.6828439264098818e-18,33,3.6354172890903276,0.1113737474888115,1.0667970423976037e-26,3.417124744012257,3.853709834168398,0.00706091234448376,0.11199181177667748,0.13967058816705383
langbot-app/LangBot,A1,cyclomatic_complexity_p90,39,29,10,0.26634698272274626,-0.946336446192165,0.46869464953315343,0.05118906917036581,-1.8649779592771456,-0.027694933107184294,0.24312447551769872,0.06966264885862687,0.0013249366167183165,0.10658568375479005,0.3796632672806074,-0.019046449538644167,0.1756195974489859,35,6.4042280653006785,0.22455153226966557,8.056982108120448e-26,5.964107062052134,6.8443490685492225,0.013778214015079449,-0.04605174900819989,0.00795884993091155
langchain-ai/langgraph,A1,cyclomatic_complexity_p90,31,22,9,0.8556976566193415,-1.0275144438186035,0.49501660442177736,0.04757052296795988,-1.9977469884852872,-0.057281899151919835,-0.22626083230199245,0.07969960192669655,0.00849465168658537,-0.3824720520783177,-0.07004961252566722,0.22626083230199268,1.0567750061224242e-11,27,3.2553759796002346,0.2466632537678317,2.7309333284822417e-13,2.7719160022152844,3.738835956985185,0.02010037603231977,0.18686409527864592,0.2656575693253394
mangiucugna/json_repair,A1,cyclomatic_complexity_p90,30,20,10,0.5725421243691153,1.3605853469144775,0.5606196669961593,0.02246085684848108,0.26177079960200533,2.4593998942269497,-0.42046794982996855,0.0844556408494275,3.556005783939766e-05,-0.5860010058948464,-0.25493489376509065,-0.0007408049008739079,0.9791611707390236,26,11.072051025434877,0.3126375235748762,1.5644570275044674e-23,10.459281479228121,11.684820571641634,0.028089462768050206,-0.05579615192625231,0.0543145421245045
microsoft/PowerToys,A1,cyclomatic_complexity_p90,51,41,10,0.36929657447385866,-0.2181529895346267,0.17769415194783192,0.22567743268657434,-0.5664335273523773,0.13012754828312384,-0.017338897064726078,0.029034380882754056,0.553250119117221,-0.07424628359492402,0.03956848946547187,0.017338897064725693,8.131354126757382e-06,47,4.50979532674034,0.08034929196289942,9.968033149853525e-45,4.352310714493057,4.667279938987623,0.003460830505266881,0.010555669274402605,0.02412212485504878
microsoft/WinUI-Gallery,A1,cyclomatic_complexity_p90,51,43,8,0.6842405397146529,0.569248493983259,0.18461903050048759,0.003420988106090158,0.2073951942023034,0.9311017937642148,-0.014327104729118753,0.03951134617631504,0.7185237754638476,-0.09176934323469624,0.06311513377645872,0.014327104729120292,3.5212258080822895e-05,47,2.8158094106474496,0.07637464823947035,2.428223394105677e-36,2.6661151000980876,2.9655037211968116,0.0031339001427629783,0.008184660449304854,0.02046954900893573
microsoft/autogen,A1,cyclomatic_complexity_p90,49,39,10,0.7728357737035889,-0.8936550218415051,0.48264427984880126,0.07065438269212357,-1.8396378103451556,0.052327766662145336,0.07090644663681958,0.07629872208408493,0.35767830509779014,-0.07863904864798688,0.22045194192162604,-0.07090644663682054,6.973642612620631e-10,45,8.770385369851816,0.21327664165575533,2.43015851789562e-37,8.352363152206536,9.188407587497096,0.00910193480376522,-0.08874623885220037,-0.05306665442144071
microsoft/fluentui-blazor,A1,cyclomatic_complexity_p90,51,42,9,0.6397965303898276,0.7180502427425998,0.8869219123208162,0.4222511951154294,-1.0203167054062,2.4564171908913996,0.11788671768525134,0.14688310180245906,0.42625241712113277,-0.17000416184756845,0.4057775972180711,-0.11788671768524994,1.4268173213779654e-10,47,5.1181982135474975,0.3433708259953416,1.9572237996577718e-19,4.445191394596628,5.791205032498367,0.014431042852749617,-0.1461715616766392,-0.08960187369386069
microsoft/magentic-ui,A1,cyclomatic_complexity_p90,16,6,10,0.7814971211882198,0.6239723608743336,0.49403543228720964,0.23057480267382652,-0.3443370864085973,1.5922818081572645,-0.2903054432553157,0.12416063999932482,0.03751183629535666,-0.5336602976539924,-0.04695058885663905,3.8163916471489756e-16,0.9999999999999973,12,7.000000000000002,0.34019139843151897,1.0006234050451785e-10,6.333224859074225,7.666775140925779,0.11303481181445516,-0.2215482311563317,0.2215482311563325
microsoft/perfview,A1,cyclomatic_complexity_p90,51,41,10,0.1200240806548899,-0.46134550702686555,0.29542942738153954,0.1250888907154605,-1.040387184694683,0.11769617064095189,-0.00558295392189894,0.0467461831420012,0.9054427684113113,-0.09720547288022129,0.08603956503642342,0.005582953921898461,0.32149401992341664,47,5.234835557960118,0.12936465677003223,3.4821820707194336e-38,4.981280830690855,5.48839028522938,0.005572036038100138,-0.0053382367127778095,0.016504144556574733
