full_name,metric,drop_degenerate,re_Group,re_t_rel_post,re_post_num
dotnet/msbuild,cyclomatic_complexity_p90,False,-0.5387607515556273,-0.0091551491887339,-0.7043411437245577
dotnet/sdk,cyclomatic_complexity_p90,False,-0.6508415076896134,-0.03873756137655576,-0.07481606693946878
dropseed/plain,cyclomatic_complexity_p90,False,-0.07603206733278148,0.01401084011096844,0.6826700667879517
elsa-workflows/elsa-core,cyclomatic_complexity_p90,False,-2.9922665441462972,0.04756886025123044,0.3535051916531265
getsentry/sentry,cyclomatic_complexity_p90,False,-0.9890553080026668,0.0009432531354728432,-0.296053019114548
graphistry/pygraphistry,cyclomatic_complexity_p90,False,1.1060784510948993,-0.08256225740158338,-0.5421762479956984
ikamensh/flynt,cyclomatic_complexity_p90,False,-1.3643530015857124,0.0315287948763846,-0.19571928186301193
janbjorge/pgqueuer,cyclomatic_complexity_p90,False,-1.858942346883387,0.008673679741927075,-0.32014015329601075
keephq/keep,cyclomatic_complexity_p90,False,0.38466007781472367,0.023837458553291117,1.2326859342336411
langbot-app/LangBot,cyclomatic_complexity_p90,False,1.1515565508894359,0.0769199375966742,-0.6583589532564827
langchain-ai/langgraph,cyclomatic_complexity_p90,False,0.6930615457309454,0.01647866248119742,0.9979993416076929
mangiucugna/json_repair,cyclomatic_complexity_p90,False,6.129472922095065,-0.22677293382116886,0.07899495422658244
microsoft/PowerToys,cyclomatic_complexity_p90,False,-0.14394411536884982,-0.0014135041285358954,-0.15443974097926644
microsoft/WinUI-Gallery,cyclomatic_complexity_p90,False,-1.882826443432439,0.028265132505134943,0.45252417692273517
microsoft/autogen,cyclomatic_complexity_p90,False,2.3297977261133305,-0.06040633082105115,-2.2861679812301836
microsoft/fluentui-blazor,cyclomatic_complexity_p90,False,-2.302134197333467,-0.021108161499561327,-1.842809956959019
microsoft/magentic-ui,cyclomatic_complexity_p90,False,2.1286805966970053,-0.14853184387700566,-0.3328980243439728
microsoft/perfview,cyclomatic_complexity_p90,False,0.3428685217894783,-0.013041592837275958,-0.5720911020332081
microsoft/testfx,cyclomatic_complexity_p90,False,-3.047996804976136,-0.0008172662568127092,-1.2153222403755675
microsoft/vstest,cyclomatic_complexity_p90,False,-3.995816306144477,0.02473245217295743,-0.4065203184940571
mlflow/mlflow,cyclomatic_complexity_p90,False,-0.9989110126977166,0.001808847582665521,-0.3069734494737894
mrwadams/stride-gpt,cyclomatic_complexity_p90,False,-2.63303561506579,0.2911619741589178,6.699044928486956
netket/netket,cyclomatic_complexity_p90,False,-1.0025311663034675,0.06948600487319438,0.003329718135700345
nkdAgility/azure-devops-migration-tools,cyclomatic_complexity_p90,False,-0.1632320690625707,0.016160700230624003,0.7569350943709552
onnx/onnx,cyclomatic_complexity_p90,False,-1.2383169642122944,0.008445050415370714,-0.10562093707225098
onyx-dot-app/onyx,cyclomatic_complexity_p90,False,0.9800684015275485,0.006370342625869741,0.7669152427765967
pardeike/Harmony,cyclomatic_complexity_p90,False,-0.9988992324135373,0.0017483787990473152,-0.30606165917635564
peass-ng/PEASS-ng,cyclomatic_complexity_p90,False,1.4402796034320764,0.017679375044864366,-0.5920812509755006
pytorch/pytorch,cyclomatic_complexity_p90,False,0.0758821191476391,-0.004487757288900521,-0.19673623803924867
