full_name,track,metric,n,n_pre,n_post,r2,level_change_coef,level_change_se,level_change_p,level_change_ci_lo,level_change_ci_hi,slope_change_coef,slope_change_se,slope_change_p,slope_change_ci_lo,slope_change_ci_hi,slope_pre_coef,slope_pre_p,dof,intercept_coef,intercept_se,intercept_p,intercept_ci_lo,intercept_ci_hi,slope_pre_se,slope_pre_ci_lo,slope_pre_ci_hi,repo_id,language,stars,log1p_stars,agent_pr_count,distinct_agents,dominant_agent,is_degenerate
marin-community/levanter,A1,cyclomatic_complexity_p90,46,37,9,0.7278875799480555,0.6024980073681169,0.1827417347842279,0.0019941335948927,0.2443242071910302,0.9606718075452036,-0.015616590965345,0.0319093608373795,0.6271015888895453,-0.0781589382066089,0.0469257562759188,0.0156165909653449,0.0001695972548852,42,3.826828626912429,0.0792156028585384,1.939991455921752e-38,3.671566045309694,3.9820912085151647,0.0037827192430169,0.0082024612490317,0.0230307206816581,496005961.0,Python,628.0,6.444131256700441,71,1,OpenAI_Codex,False
microsoft/testfx,A1,cyclomatic_complexity_p90,51,41,10,0.8268720844653317,0.3663093521008327,0.2584126929180836,0.162921952636015,-0.1401795260186112,0.8727982302202767,0.0639126559529194,0.040960650475349,0.1253878423597036,-0.0163702189787646,0.1441955308846035,-0.0639126559529198,2.73928579170389e-17,47,3.227719134390461,0.113353864073231,2.722198926122886e-31,3.0055455608069286,3.4498927079739943,0.0048824140336625,-0.0734821874588985,-0.0543431244469412,65080725.0,C#,908.0,6.812345094177479,60,1,Copilot,False
mlflow/mlflow,A1,cyclomatic_complexity_p90,51,41,10,-inf,-4.1847522786867704e-17,1.920691123660381e-15,0.9827095102931958,-3.806402125161215e-15,3.72270707958748e-15,-1.0739243771463934e-15,3.0579880713697413e-16,0.0009941748991197,-1.6732900391348626e-15,-4.745587151579241e-16,2.1685680127786924e-17,0.5547405948550813,47,4.000000000000002,8.46262840450305e-16,0.0,4.0,4.000000000000004,3.645050481660164e-17,-4.975730931275228e-17,9.312866956832612e-17,136202695.0,Python,21402.0,9.971286378100563,91,2,Copilot,True
wieslawsoltes/Dock,A1,cyclomatic_complexity_p90,51,42,9,0.7379083866534498,-1.2144267421278332,0.2323569227338633,3.895021569355244e-06,-1.6698463106862054,-0.759007173569461,-0.0329314097250982,0.0424471744864101,0.4417411970622259,-0.1161278717184621,0.0502650522682656,-0.0010946370064246,0.7940988673310001,47,5.070029008199165,0.099229395251806,7.692956110341503e-43,4.875539393505625,5.264518622892704,0.0041703707674648,-0.0092685637106557,0.0070792896978063,134182879.0,C#,1204.0,7.094234845924755,309,3,OpenAI_Codex,False
wieslawsoltes/Svg.Skia,A1,cyclomatic_complexity_p90,51,43,8,0.7780289209417703,-0.733763740963013,0.2166324526143974,0.0014361837474996,-1.158363348087232,-0.309164133838794,0.0211363511828425,0.0425768416792545,0.6219061285835235,-0.0623142585084964,0.1045869608741815,-0.0211363511828424,1.090887180816486e-07,47,8.62932045671472,0.0823001902261149,2.229309600652658e-57,8.468012083871534,8.790628829557905,0.0033770443968572,-0.0277553582006825,-0.0145173441650023,216883277.0,C#,601.0,6.400257445308821,76,1,OpenAI_Codex,False
567-labs/instructor,A1,design_smell_density_per_kloc,33,21,12,0.5200603989829065,-0.3596106747320767,0.1597048897657624,0.0320849989128883,-0.6726322586729712,-0.0465890907911823,-0.0238007897106895,0.0195884946468243,0.2341514262088714,-0.0621942392184652,0.0145926597970861,0.0051759685360214,0.509854001919371,29,0.6912892977788331,0.0909861665161619,2.2398918401212562e-08,0.5129564114071556,0.8696221841505105,0.0077565470975088,-0.0100268637750959,0.0203788008471387,653589102.0,Python,11095.0,9.314339961994667,51,4,Devin,False
AgentOps-AI/agentops,A1,design_smell_density_per_kloc,31,16,15,0.787147078356235,0.4017259785483318,0.1913481576118971,0.0452610018011221,0.0266835896290134,0.7767683674676502,0.1407324345011688,0.0214719461920394,4.980201587586826e-07,0.0986474199647715,0.1828174490375661,-0.1229742175705721,3.831503386741037e-09,27,1.5248685401252606,0.1270158878819442,2.456584633509997e-12,1.2759173998766498,1.7738196803738715,0.0144175978941923,-0.1512327094431891,-0.0947157256979552,679017521.0,Python,4722.0,8.460199469896118,51,3,Devin,False
Significant-Gravitas/AutoGPT,A1,design_smell_density_per_kloc,35,25,10,0.1960488431683505,0.1807822861673084,0.2081195213557758,0.3917160814618029,-0.2271319756900123,0.5886965480246291,-0.0078920333810746,0.0315792309641835,0.8043040197951852,-0.0697873260708744,0.0540032593087251,0.0071994849880295,0.3407901986687229,31,0.1620082810965473,0.110571305232439,0.1529379263179727,-0.0547114771590332,0.3787280393521278,0.0074414537621778,-0.007385764385839,0.0217847343618981,614765452.0,Python,177379.0,12.086049602930443,43,2,OpenAI_Codex,False
airbytehq/airbyte,A1,design_smell_density_per_kloc,51,37,14,0.5309422102981127,-0.2410046739887978,0.051571216679522,2.5156537437590587e-05,-0.342084258680661,-0.1399250892969347,-0.0048295287003624,0.0056643895422454,0.3981983624991655,-0.0159317322031635,0.0062726748024387,0.0039672920434457,0.0033107631208516,47,0.4423673885791799,0.0267997209219026,3.4440977280311945e-21,0.3898399355722508,0.494894841586109,0.0012817966673696,0.0014549705754011,0.0064796135114903,283046497.0,Python,19011.0,9.8528256377339,218,3,Devin,False
crewAIInc/crewAI,A1,design_smell_density_per_kloc,29,14,15,0.2087615606580299,0.1472996640222911,0.1762412534306101,0.411193467268118,-0.1981331927017046,0.4927325207462869,0.0525029405893414,0.0210411285966444,0.0195502973991984,0.0112623285399184,0.0937435526387645,-0.0331358311572301,0.0439571150869411,25,0.3956483819500558,0.1195137217796266,0.0028308673736245,0.1614014872619876,0.6298952766381241,0.0156180402542284,-0.0637471900555178,-0.0025244722589424,710601088.0,Python,35096.0,10.465870935715712,327,1,Devin,False
dotnet/aspire,A1,design_smell_density_per_kloc,30,20,10,0.429824699311333,0.9741314831466084,0.2292754632209516,0.0002437709890002,0.5247515752335431,1.4235113910596735,-0.0398177087257808,0.0346573221022965,0.2610583318890603,-0.1077460600462821,0.0281106425947204,-0.0370398912223834,0.0034852855232212,26,2.6317895626448444,0.1282943240596143,1.3975986498092206e-17,2.3803326874880004,2.8832464378016884,0.0115268269714323,-0.0596324720863909,-0.0144473103583759,696529789.0,C#,4723.0,8.460411177317253,169,1,Copilot,False
dotnet/aspnetcore,A1,design_smell_density_per_kloc,51,41,10,0.5133654773317972,0.0112135442456027,0.0065234933249682,0.0922048163780718,-0.001572502671335,0.0239995911625405,0.00157210883088,0.0010319282517244,0.1343427148781943,-0.0004504705424999,0.00359468820426,0.0001292699375256,0.2986572792015086,47,1.0642901236941804,0.0028557421188831,3.1729940381759204e-83,1.0586928691411694,1.0698873782471914,0.0001230034415831,-0.0001118168079772,0.0003703566830286,17620347.0,C#,36926.0,10.516698269778406,52,1,Copilot,False
dotnet/maui,A1,design_smell_density_per_kloc,51,41,10,0.4957917312943123,-0.0809353836147298,0.0275324869855212,0.0050822467382031,-0.1348990581063514,-0.0269717091231082,0.0018546139876996,0.0043553376470975,0.6721787198886712,-0.0066818478006115,0.0103910757760108,-0.0007870779421956,0.136191273601948,47,1.122222831869683,0.0120528933479519,5.772961579970762e-55,1.098599160907697,1.145846502831669,0.0005191460927195,-0.0018046042839259,0.0002304483995346,262395224.0,C#,22821.0,10.035480261994625,80,1,Copilot,False
elsa-workflows/elsa-core,A1,design_smell_density_per_kloc,51,41,10,0.2616485844708403,0.6295258427365895,0.1610688605528985,0.0002968242515628,0.3138308760529083,0.9452208094202708,-0.0895060925644362,0.0254729670997429,0.0009885660349063,-0.1394331080799323,-0.03957907704894,-0.0041632516384533,0.1768395785978772,47,2.2294875801290672,0.0704934911105426,2.489852387687288e-33,2.0913203375524034,2.367654822705731,0.00303631828605,-0.0101144354791114,0.0017879322022047,151148482.0,C#,7225.0,8.885440911707585,31,2,Copilot,False
ikamensh/flynt,A1,design_smell_density_per_kloc,51,42,9,0.6812531194048073,-0.1649575459352282,0.0401766565755118,0.0001594340248525,-0.2437037928232315,-0.0862112990472249,-0.0172377537228782,0.0067130554796871,0.0134749356389558,-0.0303953424630651,-0.0040801649826914,0.0046973000976901,5.3393469447404255e-09,47,0.2200990811311045,0.0156932102925822,2.0466596753481936e-18,0.1893403889576432,0.2508577733045658,0.0006595475593274,0.0034045868814084,0.0059900133139718,174731004.0,Python,718.0,6.577861357721047,28,1,OpenAI_Codex,False
marin-community/levanter,A1,design_smell_density_per_kloc,46,37,9,0.0710074569056101,0.0756212096963678,0.0609895376935622,0.2218936811635143,-0.0439182841830141,0.1951607035757497,-0.0011689371337652,0.0106496590276257,0.9131202297971802,-0.0220422688279116,0.0197043945603811,-0.0019791345432593,0.1244633033258029,42,0.2036080461512322,0.0264379836503339,1.467988484849515e-09,0.1517895981965776,0.2554264941058868,0.0012624718602378,-0.0044535793893256,0.0004953103028069,496005961.0,Python,628.0,6.444131256700441,71,1,OpenAI_Codex,False
microsoft/testfx,A1,design_smell_density_per_kloc,51,41,10,0.6598694131553797,0.0580329767966235,0.0654496340704823,0.3797651270458682,-0.0702483059815219,0.186314259574769,0.0098123908022178,0.010374333995081,0.349071073751122,-0.010521303828141,0.0301460854325767,-0.0102680151300625,9.011097675192276e-11,47,0.4859028399118539,0.0287097697883593,1.2542869150334375e-21,0.4296316911266696,0.5421739886970381,0.0012365964236327,-0.0126917441203826,-0.0078442861397424,65080725.0,C#,908.0,6.812345094177479,60,1,Copilot,False
mlflow/mlflow,A1,design_smell_density_per_kloc,51,41,10,0.2381174226110682,0.0044562101068599,0.0039602217819939,0.2661998114137981,-0.0033058245858481,0.0122182447995681,0.0011029560770334,0.0006305184014302,0.0867697152535565,-0.0001328599897698,0.0023387721438367,-0.0001763379728365,0.0232300053606802,47,0.0416842501968086,0.0017448867716202,6.180590588951917e-28,0.0382642721244329,0.0451042282691842,7.515632334692139e-05,-0.0003236443665964,-2.903157907654366e-05,136202695.0,Python,21402.0,9.971286378100563,91,2,Copilot,False
wieslawsoltes/Dock,A1,design_smell_density_per_kloc,51,42,9,0.7988745163364794,0.1610053486843936,0.0769468222298955,0.0418270602546421,0.0101895771137983,0.3118211202549888,0.0563532100181847,0.0140567156378988,0.0002165895973443,0.0288020473679029,0.0839043726684665,0.0041056761026311,0.0046419481486426,47,1.1325936417252855,0.0328605945826119,5.154818279355177e-35,1.0681868763433662,1.197000407107205,0.0013810510756523,0.0013988159943526,0.0068125362109097,134182879.0,C#,1204.0,7.094234845924755,309,3,OpenAI_Codex,False
