repo_id,full_name,track,unit,n_prs_found,total_count,is_undersampled,status,error
710601088.0,crewAIInc/crewAI,B1,2024-06-01,3,3,True,ok,
710601088.0,crewAIInc/crewAI,B1,2024-07-01,8,8,True,ok,
710601088.0,crewAIInc/crewAI,B1,2024-08-01,5,5,True,ok,
710601088.0,crewAIInc/crewAI,B1,2024-09-01,4,4,True,ok,
710601088.0,crewAIInc/crewAI,B1,2024-10-01,8,8,True,ok,
710601088.0,crewAIInc/crewAI,B1,2024-11-01,6,6,True,ok,
710601088.0,crewAIInc/crewAI,B1,2024-12-01,7,7,True,ok,
710601088.0,crewAIInc/crewAI,B1,2025-01-01,4,4,True,ok,
710601088.0,crewAIInc/crewAI,B1,2025-02-01,0,0,True,ok,
710601088.0,crewAIInc/crewAI,B1,2025-03-01,1,1,True,ok,
710601088.0,crewAIInc/crewAI,B1,2025-04-01,4,4,True,ok,
710601088.0,crewAIInc/crewAI,B1,2025-05-01,7,7,True,ok,
710601088.0,crewAIInc/crewAI,B1,2025-06-01,2,2,True,ok,
710601088.0,crewAIInc/crewAI,B1,2025-07-01,10,12,False,ok,
710601088.0,crewAIInc/crewAI,B1,2025-08-01,9,9,True,ok,
710601088.0,crewAIInc/crewAI,B1,2025-09-01,5,5,True,ok,
710601088.0,crewAIInc/crewAI,B1,2025-10-01,10,11,False,ok,
710601088.0,crewAIInc/crewAI,B1,2025-11-01,4,4,True,ok,
710601088.0,crewAIInc/crewAI,B1,2025-12-01,10,20,False,ok,
710601088.0,crewAIInc/crewAI,B1,2026-01-01,1,1,True,ok,
710601088.0,crewAIInc/crewAI,B1,2026-02-01,10,17,False,ok,
710601088.0,crewAIInc/crewAI,B1,2026-03-01,10,20,False,ok,
710601088.0,crewAIInc/crewAI,B2,before,10,638,False,ok,
710601088.0,crewAIInc/crewAI,B2,after,10,3608,False,ok,
283046497.0,airbytehq/airbyte,B1,2022-01-01,4,4,True,ok,
283046497.0,airbytehq/airbyte,B1,2022-02-01,10,39,False,ok,
283046497.0,airbytehq/airbyte,B1,2022-03-01,10,53,False,ok,
283046497.0,airbytehq/airbyte,B1,2022-04-01,10,17,False,ok,
283046497.0,airbytehq/airbyte,B1,2022-05-01,10,14,False,ok,
283046497.0,airbytehq/airbyte,B1,2022-06-01,10,49,False,ok,
283046497.0,airbytehq/airbyte,B1,2022-07-01,10,28,False,ok,
283046497.0,airbytehq/airbyte,B1,2022-08-01,10,48,False,ok,
283046497.0,airbytehq/airbyte,B1,2022-09-01,10,56,False,ok,
283046497.0,airbytehq/airbyte,B1,2022-10-01,6,6,True,ok,
283046497.0,airbytehq/airbyte,B1,2022-11-01,10,99,False,ok,
283046497.0,airbytehq/airbyte,B1,2022-12-01,10,52,False,ok,
283046497.0,airbytehq/airbyte,B1,2023-01-01,8,8,True,ok,
283046497.0,airbytehq/airbyte,B1,2023-02-01,10,87,False,ok,
283046497.0,airbytehq/airbyte,B1,2023-03-01,10,53,False,ok,
283046497.0,airbytehq/airbyte,B1,2023-04-01,6,6,True,ok,
283046497.0,airbytehq/airbyte,B1,2023-05-01,10,37,False,ok,
283046497.0,airbytehq/airbyte,B1,2023-06-01,10,65,False,ok,
283046497.0,airbytehq/airbyte,B1,2023-07-01,0,0,True,ok,
283046497.0,airbytehq/airbyte,B1,2023-08-01,10,66,False,ok,
283046497.0,airbytehq/airbyte,B1,2023-09-01,10,28,False,ok,
283046497.0,airbytehq/airbyte,B1,2023-10-01,10,27,False,ok,
283046497.0,airbytehq/airbyte,B1,2023-11-01,10,47,False,ok,
283046497.0,airbytehq/airbyte,B1,2023-12-01,10,13,False,ok,
283046497.0,airbytehq/airbyte,B1,2024-01-01,5,5,True,ok,
283046497.0,airbytehq/airbyte,B1,2024-02-01,10,39,False,ok,
283046497.0,airbytehq/airbyte,B1,2024-03-01,10,26,False,ok,
283046497.0,airbytehq/airbyte,B1,2024-04-01,10,43,False,ok,
283046497.0,airbytehq/airbyte,B1,2024-05-01,10,40,False,ok,
283046497.0,airbytehq/airbyte,B1,2024-06-01,10,18,False,ok,
283046497.0,airbytehq/airbyte,B1,2024-07-01,10,25,False,ok,
283046497.0,airbytehq/airbyte,B1,2024-08-01,10,76,False,ok,
283046497.0,airbytehq/airbyte,B1,2024-09-01,10,13,False,ok,
283046497.0,airbytehq/airbyte,B1,2024-10-01,10,35,False,ok,
283046497.0,airbytehq/airbyte,B1,2024-11-01,10,31,False,ok,
283046497.0,airbytehq/airbyte,B1,2024-12-01,10,21,False,ok,
283046497.0,airbytehq/airbyte,B1,2025-01-01,6,6,True,ok,
283046497.0,airbytehq/airbyte,B1,2025-02-01,10,419,False,ok,
283046497.0,airbytehq/airbyte,B1,2025-03-01,10,440,False,ok,
283046497.0,airbytehq/airbyte,B1,2025-04-01,10,40,False,ok,
283046497.0,airbytehq/airbyte,B1,2025-05-01,10,37,False,ok,
